stock_id,annual_volatility,ROA,ROE,QoE,Accruals,niq,oancfq,atq,ltq,FM_Score,Risk_Bucket
stock_100,0.1878,0.0206,0.0697,2.4607,-0.0301,1324.0,3258.0,64149.0,45149.0,-0.1597,1
stock_466,0.162,0.0187,0.075,2.2007,-0.0224,538.0,1184.0,28841.0,21667.0,0.1372,1
stock_377,0.2382,0.0583,0.1298,1.3156,-0.0184,170.871,224.793,2931.718,1615.675,0.4633,4
stock_392,0.1821,0.0242,0.1867,1.6914,-0.0167,502.2,849.4,20736.6,18046.3,-0.4792,1
stock_234,0.2605,0.0213,0.445,2.3178,-0.028,148.865,345.039,6994.639,6660.132,-1.3123,5
stock_333,0.2397,0.0621,0.0838,1.271,-0.0168,286.634,364.324,4613.12,1193.222,1.0373,3
stock_307,0.2105,0.0611,0.1349,1.1968,-0.012,20505.0,24540.0,335418.0,183440.0,0.2087,2
stock_375,0.261,0.069,0.0946,2.0914,-0.0753,1632.2,3413.6,23671.5,6413.5,2.4884,3
stock_429,0.2522,0.0679,0.0831,1.6581,-0.0447,777.2,1288.7,11450.7,2102.0,1.1157,3
stock_311,0.2299,0.0635,1.2797,1.2927,-0.0186,203.688,263.307,3207.161,3047.99,0.4022,2
stock_367,0.1871,0.0321,0.0542,1.3962,-0.0127,490.091,684.265,15284.686,6247.388,0.0028,1
stock_401,0.2109,0.0564,0.156,1.2148,-0.0121,796.0,967.0,14111.0,9010.0,-0.1759,4
stock_349,0.2451,0.0455,0.1072,1.3294,-0.015,8146.0,10829.0,179188.0,103221.0,-0.1317,5
stock_181,0.3423,0.0273,0.1436,2.4451,-0.0395,163.1,398.8,5970.6,4835.0,-0.3383,5
stock_281,0.2244,0.0393,1.746,1.6182,-0.0243,220.0,356.0,5595.0,5469.0,3.1342,2
stock_230,0.2127,0.0109,0.0448,3.2337,-0.0243,261.0,844.0,24033.0,18204.0,0.3462,4
stock_329,0.2541,0.0574,0.1101,1.389,-0.0223,332.081,461.272,5788.894,2771.843,1.3951,3
stock_442,0.1914,0.0192,0.0547,1.8551,-0.0164,4086.0,7580.0,213045.0,138413.0,0.1807,3
stock_3,0.1976,0.0214,0.2341,2.4961,-0.0319,3179.0,7935.0,148858.0,135281.0,0.7753,2
stock_137,0.4721,0.0398,0.0925,1.9069,-0.0361,838.0,1598.0,21057.0,11996.0,0.8707,5
stock_348,0.1477,0.0238,0.1391,1.9308,-0.0222,2224.0,4294.0,93254.0,77264.0,0.2792,1
stock_378,0.2456,0.0069,0.0517,10.4918,-0.0658,429.0,4501.0,61891.0,53588.0,1.59,3
stock_279,0.1891,0.0075,0.0138,3.3255,-0.0175,84.479,280.932,11254.132,5139.479,-0.1138,2
stock_339,0.2038,0.0474,-3.9662,1.526,-0.0249,558.652,852.495,11789.385,11930.238,-6.9686,3
stock_152,0.3173,0.0357,0.0494,1.7816,-0.0279,115.656,206.05,3242.233,903.114,1.1354,5
stock_422,0.2337,0.0273,0.1078,1.4617,-0.0126,1488.0,2175.0,54411.0,40608.0,-0.3456,4
stock_301,0.3803,0.046,0.0591,1.713,-0.0328,68.77,117.801,1495.901,333.188,0.2231,4
stock_104,0.1911,0.0038,0.0075,6.5242,-0.0212,29.483,192.353,7685.567,3731.745,0.0648,1
stock_8,0.2738,0.0453,0.0833,1.6756,-0.0306,1233.0,2066.0,27241.0,12444.0,0.5801,5
stock_480,0.1988,0.0403,0.1179,1.183,-0.0074,552.0,653.0,13705.0,9024.0,0.3646,3
stock_385,0.173,0.0143,0.0395,1.8698,-0.0125,350.3,655.0,24428.9,15550.0,-0.3474,2
stock_248,0.2349,0.0362,0.0745,1.305,-0.0111,282.0,368.0,7781.0,3997.0,0.3985,4
stock_98,0.3569,0.0272,0.0539,2.0164,-0.0277,2379.0,4797.0,87304.0,43189.0,0.0946,5
stock_419,0.3995,0.0682,0.1011,2.0359,-0.0707,256.718,522.66,3762.182,1221.808,2.4361,4
stock_188,0.1908,0.0386,0.1207,1.255,-0.0099,2592.0,3253.0,67098.0,45627.0,0.5706,2
stock_202,0.2008,0.0565,3.9894,0.8329,0.0094,4129.0,3439.0,73031.0,71996.0,1.3717,1
stock_87,0.1501,0.0399,0.6173,1.5678,-0.0227,634.0,994.0,15880.0,14853.0,0.3828,1
stock_165,0.2095,0.0194,0.0557,1.4106,-0.008,188.276,265.58,9708.359,6325.484,-0.0858,4
stock_183,0.1765,0.0167,0.0547,1.707,-0.0118,860.0,1468.0,51370.0,35649.0,0.1465,2
stock_479,0.2644,0.0339,0.0707,1.4925,-0.0167,199.0,297.0,5865.0,3049.0,-0.3542,5
