stock_id,annual_volatility,ROA,ROE,QoE,Accruals,niq,oancfq,atq,ltq,FM_Score,Risk_Bucket
stock_216,0.2598,0.0235,0.0732,7.0736,-0.1430,1195.0000,8453.0000,50765.0000,34448.0000,4.0750,5
stock_3,0.2230,0.0279,0.2464,1.9250,-0.0258,3949.0000,7602.0000,141325.0000,125298.0000,0.6043,3
stock_268,0.2548,0.0342,0.1486,1.7621,-0.0260,1778.0000,3133.0000,52030.0000,40064.0000,1.0683,3
stock_302,0.1991,0.0303,0.0729,1.7248,-0.0220,3248.0000,5602.0000,107081.0000,62557.0000,0.2297,2
stock_29,0.2116,0.0336,0.5866,1.3896,-0.0131,2143.0000,2978.0000,63700.0000,60047.0000,0.4409,1
stock_442,0.2429,0.0216,0.0635,3.5251,-0.0547,5262.0000,18549.0000,243064.0000,160143.0000,1.2465,3
stock_65,0.1959,0.0164,0.0491,2.2958,-0.0212,1606.0000,3687.0000,98196.0000,65462.0000,0.3930,2
stock_348,0.1935,0.0286,0.1412,1.6377,-0.0182,2702.0000,4425.0000,94461.0000,75326.0000,0.7562,2
stock_260,0.2485,0.0124,0.0391,4.6173,-0.0447,162.0000,748.0000,13099.0000,8960.0000,1.5175,5
stock_267,0.2687,0.0306,0.1428,1.5050,-0.0154,1451.7000,2184.8000,47461.5000,37295.6000,0.8299,3
stock_10,0.3065,0.0177,0.0424,3.9020,-0.0513,1031.0000,4023.0000,58304.0000,33985.0000,1.6384,5
stock_87,0.2016,0.0379,0.5869,1.5680,-0.0215,618.0000,969.0000,16288.0000,15235.0000,0.3639,1
stock_253,0.2122,0.0262,0.5540,1.7088,-0.0186,467.0000,798.0000,17836.0000,16993.0000,0.1408,2
stock_120,0.3235,0.0249,0.1103,1.9061,-0.0226,2246.0000,4281.0000,90030.0000,69673.0000,0.6015,4
stock_214,0.2039,0.0369,0.1296,1.1175,-0.0043,399.4870,446.4210,10832.9070,7749.8270,-0.0411,1
stock_188,0.2265,0.0286,0.0850,1.6003,-0.0172,1789.0000,2863.0000,62557.0000,41500.0000,0.5041,2
stock_151,0.4244,0.0705,0.1197,1.6724,-0.0474,2854.0000,4773.0000,40487.0000,16638.0000,1.7714,4
stock_98,0.4042,0.0477,0.0922,1.9306,-0.0444,4527.0000,8740.0000,94837.0000,45758.0000,0.1031,4
stock_404,0.4228,0.0651,0.1152,1.6363,-0.0414,914.3250,1496.1550,14047.6980,6112.4930,0.6414,4
stock_466,0.2159,0.0214,0.0911,1.8498,-0.0182,639.0000,1182.0000,29841.0000,22829.0000,0.1037,3
stock_339,0.2666,0.0478,-0.4857,1.6416,-0.0307,585.4380,961.0470,12238.0280,13443.4910,0.5222,5
stock_469,0.2522,0.0069,0.0359,3.3540,-0.0163,228.8790,767.6500,33076.8190,26706.8430,0.1691,5
stock_224,0.2646,0.0205,0.0267,2.6281,-0.0333,112.7750,296.3810,5510.2140,1283.5630,0.4713,2
stock_194,0.2445,0.0191,0.0849,1.4522,-0.0086,312.3580,453.6060,16377.0800,12698.8880,0.0180,3
stock_116,0.3195,0.0432,0.0704,1.3594,-0.0155,11231.0000,15267.0000,259735.0000,100108.0000,0.0811,1
stock_355,0.2793,0.0315,0.0661,1.6404,-0.0201,262.5000,430.6000,8344.4000,4373.2000,0.2792,2
stock_37,0.5174,0.0310,0.2721,2.6161,-0.0500,422.0000,1104.0000,13629.0000,12078.0000,-1.5390,4
stock_256,0.1931,0.0306,0.1156,1.2467,-0.0075,2825.0000,3522.0000,92471.0000,68035.0000,-0.0764,1
stock_241,0.2501,0.0413,0.0729,1.2842,-0.0117,106.5490,136.8310,2578.4600,1117.3220,-0.7919,1
stock_304,0.4703,0.0457,0.0730,1.9045,-0.0414,817.0000,1556.0000,17858.0000,6671.0000,-0.2275,4
stock_327,0.4271,0.0528,0.0900,1.6550,-0.0346,1694.7480,2804.7800,32072.7040,13248.0250,0.1385,4
stock_467,0.2863,0.0123,0.0431,2.4833,-0.0183,600.0000,1490.0000,48672.0000,34762.0000,0.1808,5
stock_203,0.4272,0.0238,0.0629,2.6000,-0.0381,515.0000,1339.0000,21643.0000,13449.0000,-0.3582,5
stock_113,0.4352,0.0589,0.0944,1.4808,-0.0283,1196.0000,1771.0000,20305.0000,7635.0000,1.1418,4
stock_297,0.2288,0.0066,-0.0529,13.7321,-0.0840,224.0000,3076.0000,33953.0000,38185.0000,3.2523,3
stock_430,0.2277,0.0040,0.0228,5.4714,-0.0178,454.0000,2484.0000,114317.0000,94411.0000,0.3136,3
stock_177,0.2848,0.0112,0.0378,3.2843,-0.0257,121.0000,397.4000,10764.7000,7561.1000,0.5652,5
stock_189,0.2188,0.0193,0.0584,1.3400,-0.0066,605.9000,811.9000,31319.8000,20947.7000,0.2678,3
stock_278,0.3148,0.0664,0.3879,1.5430,-0.0361,2499.0000,3856.0000,37612.0000,31169.0000,0.9235,1
stock_475,0.3454,0.0531,0.1018,1.2424,-0.0129,19660.0000,24425.0000,370152.0000,177109.0000,0.3045,1
