stock_id,annual_volatility,ROA,ROE,QoE,Accruals,niq,oancfq,atq,ltq,FM_Score,Risk_Bucket
stock_308,0.1682,0.0405,0.4191,1.3505,-0.0142,562.0,759.0,13889.0,12548.0,0.1014,1
stock_278,0.1587,0.0691,0.4352,1.574,-0.0397,3263.0,5136.0,47237.0,39739.0,0.8068,1
stock_264,0.2767,0.0721,0.317,1.8916,-0.0643,239.0,452.1,3313.2,2559.2,1.1743,4
stock_87,0.1516,0.0439,0.8804,1.5856,-0.0257,736.0,1167.0,16774.0,15938.0,-4.7091,1
stock_201,0.2346,0.0214,1.6158,2.7677,-0.0378,1270.0,3515.0,59459.0,58673.0,4.6293,3
stock_451,0.1735,0.0482,0.7223,1.3458,-0.0167,220.1,296.2,4563.2,4258.5,0.4854,2
stock_3,0.2096,0.0109,0.2571,3.4894,-0.0271,1561.0,5447.0,143422.0,137351.0,1.013,3
stock_434,0.2291,0.0369,0.1014,1.6873,-0.0254,772.0,1302.6,20903.7,13289.4,0.6126,4
stock_352,0.2065,0.0222,0.0859,1.9759,-0.0216,2333.4,4610.5,105202.5,78043.2,0.3586,3
stock_136,0.2698,0.0123,0.0967,3.7748,-0.034,214.688,810.401,17503.737,15284.063,-0.0676,5
stock_260,0.2096,0.0273,0.078,1.8022,-0.0219,364.0,656.0,13338.0,8671.0,0.5202,3
stock_30,0.1933,0.0027,0.0894,5.9648,-0.0136,511.0,3048.0,185969.0,180254.0,-0.2836,2
stock_281,0.2373,0.0315,1.1761,2.491,-0.047,167.0,416.0,5296.0,5154.0,-1.565,4
stock_88,0.1959,0.018,0.442,2.2323,-0.0222,99.0,221.0,5497.0,5273.0,-0.5843,3
stock_342,0.3272,0.0172,0.0593,4.3045,-0.0569,350.7,1509.6,20374.6,14462.8,1.2464,5
stock_2,0.2234,0.0404,0.2588,1.8194,-0.0331,14736.0,26811.0,364980.0,308030.0,-0.9741,4
stock_100,0.182,0.0245,0.0735,1.8131,-0.0199,1798.0,3260.0,73386.0,48935.0,-0.2392,2
stock_425,0.1727,0.0145,0.0476,2.0069,-0.0146,3059.0,6139.0,210742.0,146492.0,-0.0134,2
stock_40,0.475,0.0798,0.463,1.2677,-0.0214,434.42,550.702,5442.484,4504.278,0.9725,5
stock_468,0.1719,0.0174,0.0485,1.4335,-0.0075,4577.0,6561.0,263399.0,168934.0,-0.7675,1
stock_437,0.2124,0.0152,0.0232,3.4747,-0.0376,75.897,263.716,4996.508,1721.396,1.0861,3
stock_188,0.2244,0.023,0.0681,3.4389,-0.056,1253.0,4309.0,54525.0,36135.0,1.2813,4
stock_289,0.2969,0.0612,0.0954,1.576,-0.0352,15688.0,24724.0,256408.0,91879.0,0.3088,5
stock_268,0.1692,0.0292,0.2254,1.5022,-0.0147,1623.0,2438.0,55520.0,48320.0,-0.1322,1
stock_197,0.215,0.0533,0.126,1.2572,-0.0137,486.0,611.0,9114.0,5258.0,0.3386,3
stock_234,0.2176,0.0529,0.3898,1.4234,-0.0224,415.049,590.767,7845.45,6780.768,0.884,4
stock_467,0.1956,0.0131,0.0475,1.7606,-0.01,706.0,1243.0,53837.0,38972.0,-0.0441,2
stock_68,0.167,0.0123,0.0224,2.1365,-0.014,469.0,1002.0,38078.0,17122.0,0.0561,1
stock_202,0.2049,0.0375,0.6305,1.1604,-0.006,3648.0,4233.0,97264.0,91478.0,-3.519,3
stock_253,0.18,0.0528,0.617,1.0562,-0.003,907.0,958.0,17165.0,15695.0,1.3707,2
stock_181,0.283,0.061,0.5945,1.1263,-0.0077,539.9,608.1,8852.0,7943.9,-4.9002,5
stock_67,0.1811,0.0133,0.036,1.8884,-0.0118,233.0,440.0,17525.0,11045.0,-0.0626,2
stock_33,0.3844,0.0582,0.0809,1.5703,-0.0332,747.938,1174.456,12846.723,3600.834,0.089,5
stock_232,0.2614,-0.0018,1.0549,-7.5227,-0.0155,-33.62,252.913,18469.629,18501.5,1.4376,5
stock_466,0.1718,0.0219,0.0953,1.7868,-0.0172,760.0,1358.0,34730.0,26758.0,0.0779,1
stock_355,0.185,0.0272,0.0558,1.3738,-0.0102,238.1,327.1,8753.8,4490.2,0.1395,2
stock_23,0.2084,0.0105,0.0571,2.6899,-0.0177,1190.0,3201.0,113743.0,92905.0,0.1281,3
stock_447,0.1688,0.0563,0.1359,1.2531,-0.0142,5318.0,6664.0,94511.0,55374.0,0.3888,1
stock_427,0.2398,0.0177,0.0869,1.3962,-0.007,387.4,540.9,21903.8,17445.3,-0.5043,4
stock_390,0.243,0.003,0.0298,13.5639,-0.038,1408.0,19098.0,466055.0,418840.0,2.1923,4
