stock_id,annual_volatility,ROA,ROE,QoE,Accruals,niq,oancfq,atq,ltq,FM_Score,Risk_Bucket
stock_389,0.2103,0.0313,0.6428,11.1582,-0.3178,755.8,8433.4,24156.4,22980.6,8.3485,3
stock_339,0.2614,0.0464,0.7347,1.2748,-0.0127,366.151,466.786,7894.714,7396.335,0.0447,4
stock_181,0.3185,0.0212,0.0658,3.0102,-0.0427,58.7,176.7,2763.5,1871.9,0.352,5
stock_278,0.2814,0.0814,0.3237,1.2464,-0.0201,1899.0,2367.0,23340.0,17473.0,1.5176,4
stock_382,0.2201,0.059,0.0907,1.2422,-0.0143,66.628,82.765,1129.573,394.815,0.6516,2
stock_267,0.2246,0.0258,0.0812,1.8458,-0.0218,1149.5,2121.8,44625.1,30474.2,1.7133,3
stock_173,0.2604,0.051,0.1034,1.5375,-0.0274,132.881,204.305,2605.476,1319.984,0.3437,4
stock_241,0.1941,0.0411,0.0611,1.7562,-0.0311,83.551,146.734,2033.102,664.538,-0.1731,1
stock_211,0.2017,0.0321,0.0466,1.9071,-0.0291,261.406,498.524,8142.292,2537.474,0.9321,1
stock_363,0.2133,0.054,0.1858,1.2716,-0.0147,69.261,88.069,1283.758,911.02,0.8984,1
stock_100,0.2141,0.0175,0.0569,2.8383,-0.0322,767.0,2177.0,43814.0,30335.0,0.1063,2
stock_302,0.1992,0.0229,0.0597,1.4323,-0.0099,1950.0,2793.0,85130.0,52474.0,-0.1215,2
stock_423,0.2182,0.0507,0.145,1.2031,-0.0103,762.253,917.092,15025.242,9768.369,0.0043,3
stock_480,0.2339,0.0332,0.1638,1.585,-0.0194,347.0,550.0,10459.0,8341.0,0.2794,3
stock_35,0.1781,0.0057,0.034,3.8231,-0.0162,147.0,562.0,25602.0,21274.0,0.4767,2
stock_451,0.1969,0.0284,0.0775,1.3663,-0.0104,166.0,226.8,5851.1,3709.9,0.2486,1
stock_162,0.164,0.0061,0.022,3.8281,-0.0173,733.0,2806.0,119485.0,86097.0,0.1492,2
stock_161,0.2891,0.0379,0.0672,1.5153,-0.0195,225.9,342.3,5958.2,2596.9,0.6209,4
stock_293,0.2273,0.0597,0.0667,1.7618,-0.0455,38.594,67.994,646.131,67.513,0.3393,2
stock_201,0.2451,0.02,-0.2035,2.2675,-0.0253,759.0,1721.0,38044.0,41774.0,0.066,5
stock_5,0.2244,0.0079,0.0182,3.8774,-0.0226,563.0,2183.0,71637.0,40739.0,0.3355,4
stock_32,0.3454,0.0201,0.0737,2.9788,-0.0397,2883.0,8588.0,143695.0,104570.0,0.1779,5
stock_377,0.2731,0.0566,0.103,1.608,-0.0344,115.242,185.313,2034.907,915.665,0.4696,3
stock_83,0.2284,0.0245,0.0622,1.6767,-0.0166,146.3,245.3,5967.3,3613.9,0.547,3
stock_13,0.1839,0.0132,0.0458,2.4258,-0.0189,357.0,866.0,26959.0,19161.0,0.5033,1
stock_15,0.2551,0.0031,0.0153,7.4653,-0.0201,101.0,754.0,32489.0,25901.0,0.2833,5
stock_91,0.3277,0.0171,0.0266,5.1586,-0.0712,38.204,197.079,2230.872,795.035,1.2692,4
stock_234,0.2401,0.002,0.0125,21.2085,-0.04,11.753,249.264,5944.817,5003.269,0.6421,5
stock_349,0.1973,0.0245,0.0574,1.2783,-0.0068,4114.0,5259.0,167838.0,96174.0,0.2974,1
stock_133,0.2778,0.0922,-0.0283,1.282,-0.026,84.095,107.807,912.114,3885.872,1.7607,5
stock_403,0.1987,0.0154,0.0248,1.6257,-0.0097,77.457,125.923,5021.29,1896.313,0.2243,2
stock_369,0.3081,0.0057,0.0151,4.7372,-0.0212,13.191,62.489,2329.022,1454.433,0.1393,5
stock_292,0.1926,0.0169,0.0558,0.0,0.0169,173.5,0.0,10278.0,7166.0,0.1864,1
stock_308,0.2138,0.0276,-0.1771,1.3684,-0.0102,247.0,338.0,8963.0,10358.0,-0.0938,3
stock_452,0.2604,0.0731,-0.0983,1.3616,-0.0264,137.68,187.461,1884.628,3285.729,0.0177,4
stock_256,0.1497,0.0216,0.0932,1.5979,-0.0129,1880.0,3004.0,86877.0,66699.0,0.2368,1
stock_440,0.1885,0.0024,0.0052,8.1474,-0.0173,18.61,151.623,7678.784,4078.516,0.1666,2
stock_138,0.3728,0.0418,0.0829,1.2189,-0.0092,46.6,56.8,1114.3,552.1,0.7319,4
stock_94,0.2714,0.0006,0.0018,28.8421,-0.017,19.0,548.0,31157.0,20396.0,1.5015,5
stock_253,0.2348,0.0309,2.6069,1.5344,-0.0165,451.0,692.0,14583.0,14410.0,0.0082,3
