stock_id,annual_volatility,ROA,ROE,QoE,Accruals,niq,oancfq,atq,ltq,FM_Score,Risk_Bucket
stock_363,0.3686,0.0750,0.2020,1.4082,-0.0306,119.0980,167.7140,1587.5890,998.0880,-1.1004,3
stock_12,0.4173,0.0222,1.9076,2.7315,-0.0385,132.2000,361.1000,5944.5000,5875.2000,1.9510,5
stock_220,0.3711,0.0714,0.3315,1.3207,-0.0229,146.2190,193.1160,2047.4070,1606.2920,-0.7035,3
stock_87,0.2736,0.0451,0.6505,1.3782,-0.0171,698.0000,962.0000,15466.0000,14393.0000,-0.3383,1
stock_339,0.3269,0.0422,0.7434,1.4984,-0.0210,527.2520,790.0510,12503.9510,11794.7260,-1.1721,1
stock_311,0.3621,0.0585,0.3651,1.3914,-0.0229,161.7670,225.0780,2766.5360,2323.4690,0.7356,3
stock_419,0.4556,0.0648,0.1117,1.5379,-0.0349,222.7170,342.5120,3436.5120,1442.9680,1.0788,4
stock_88,0.2785,0.0612,0.3166,0.9229,0.0047,415.0000,383.0000,6777.0000,5466.0000,-1.6362,1
stock_392,0.3404,0.0339,0.1678,2.1099,-0.0376,705.8000,1489.2000,20809.7000,16602.4000,0.7718,2
stock_296,0.3312,0.0610,0.0751,1.4635,-0.0283,347.6540,508.7780,5697.6830,1068.3620,1.2491,2
stock_382,0.3440,0.0441,0.0853,1.3299,-0.0145,79.5790,105.8350,1806.0660,873.3500,-0.5125,2
stock_2,0.3952,0.0391,0.1940,1.6236,-0.0244,12673.0000,20576.0000,323888.0000,258549.0000,0.4855,4
stock_444,0.3566,0.0314,0.3491,1.7046,-0.0221,1957.0000,3336.0000,62406.0000,56800.0000,-0.0407,3
stock_202,0.3366,0.0513,2.2358,0.7535,0.0126,3432.0000,2586.0000,66919.0000,65384.0000,10.4064,2
stock_159,0.5307,0.0414,0.1376,2.0182,-0.0422,91.7610,185.1940,2214.5050,1547.8380,-1.6099,5
stock_423,0.4065,0.0275,0.1557,4.7077,-0.1018,866.6560,4079.9850,31565.5000,25998.7440,1.2695,5
stock_320,0.3428,0.0359,0.1176,1.9768,-0.0351,1251.0000,2473.0000,34836.0000,24196.0000,1.0385,2
stock_401,0.3640,0.0396,0.1509,1.7819,-0.0310,454.0000,809.0000,11452.0000,8443.0000,-1.3261,3
stock_152,0.4007,0.0350,0.0481,1.9631,-0.0337,89.4320,175.5640,2555.4250,695.1910,0.3933,4
stock_150,0.5906,0.0360,0.0946,1.7149,-0.0258,39.3620,67.5010,1092.3400,676.1340,3.3109,5
stock_253,0.2847,0.0286,0.7789,1.1843,-0.0053,472.0000,559.0000,16531.0000,15925.0000,-2.8068,1
stock_281,0.3570,0.0493,0.8065,1.0291,-0.0014,275.0000,283.0000,5575.0000,5234.0000,-6.2408,3
stock_174,0.4100,0.0368,0.1786,2.3033,-0.0480,59.1260,136.1860,1606.2400,1275.1580,0.2969,5
stock_168,0.3362,0.0539,0.0768,1.3047,-0.0164,221.5000,289.0000,4108.6000,1223.0000,0.1407,1
stock_391,0.4024,0.0230,5.4694,1.4716,-0.0108,134.0000,197.2000,5828.2000,5803.7000,7.8150,4
stock_372,0.4243,0.0832,0.4871,0.5882,0.0342,2960.0000,1741.0000,35594.0000,29517.0000,1.3228,4
stock_264,0.3679,0.0665,-1.1383,3.3386,-0.1555,131.7000,439.7000,1981.2000,2096.9000,4.8188,4
stock_207,0.3885,0.0688,0.1828,0.8929,0.0074,495.0000,442.0000,7195.8000,4488.5000,2.1253,3
stock_432,0.5870,0.0072,0.0189,7.2508,-0.0453,331.0000,2400.0000,45691.0000,28191.0000,0.9063,5
stock_192,0.4679,0.0387,0.0889,1.3499,-0.0135,114.9700,155.1960,2974.0750,1680.6340,0.8334,5
stock_214,0.2967,0.0483,0.2162,1.0759,-0.0037,447.2830,481.2190,9255.0340,7186.2210,0.8074,1
stock_99,0.3220,-0.1095,5.7716,-0.2681,-0.1388,-4846.0720,1299.2320,44274.8300,45114.4660,4.4163,3
stock_328,0.4743,0.0497,0.0871,0.9573,0.0021,1336.0000,1279.0000,26881.0000,11547.0000,0.1864,4
stock_61,0.3442,0.1094,0.1490,0.0000,0.1094,1314.8240,0.0000,12020.9310,3195.7860,0.3350,2
stock_436,0.3756,0.0743,0.1625,1.0665,-0.0049,1353.0000,1443.0000,18207.0000,9882.0000,-0.7187,2
stock_301,0.4559,0.0478,0.0608,1.3930,-0.0188,55.5660,77.4060,1161.2940,246.7250,0.8177,4
stock_133,0.3268,0.0612,-0.0309,1.5996,-0.0367,99.1290,158.5710,1620.9480,4832.4790,0.3899,2
stock_100,0.2694,0.0194,0.0762,2.2702,-0.0246,1166.0000,2647.0000,60217.0000,44908.0000,-1.1087,1
stock_384,0.4360,0.0104,0.0435,12.2770,-0.1177,131.1970,1610.7020,12570.6660,9551.6290,0.5375,5
stock_470,0.3534,0.0319,0.0479,1.4411,-0.0141,82.3000,118.6000,2582.8000,863.9000,-0.6438,2
