stock_id,annual_volatility,ROA,ROE,QoE,Accruals,niq,oancfq,atq,ltq,FM_Score,Risk_Bucket
stock_264,0.2826,0.0451,0.8176,2.4018,-0.0633,130.4000,313.2000,2890.1000,2730.6000,-3.6787,4
stock_99,0.1894,0.0056,0.5261,5.2110,-0.0236,350.5650,1826.8110,62558.7460,61892.4590,0.6399,3
stock_451,0.1932,0.0429,0.4742,1.3346,-0.0144,187.4000,250.1000,4363.9000,3968.7000,0.1254,2
stock_329,0.2301,0.0680,0.1038,1.5193,-0.0353,433.1570,658.0830,6372.2630,2199.6800,3.5979,2
stock_78,0.2596,0.0468,0.0817,1.5567,-0.0261,254.3210,395.9140,5431.3750,2317.4810,-0.1938,3
stock_307,0.2482,0.0500,0.1010,1.3720,-0.0186,22291.0000,30583.0000,445785.0000,225071.0000,-0.0059,3
stock_91,0.2207,0.0396,0.1085,1.5340,-0.0211,313.2170,480.4720,7911.4930,5025.1790,-0.6580,2
stock_447,0.1556,0.0517,0.1209,1.4798,-0.0248,4681.0000,6927.0000,90499.0000,51766.0000,0.5141,1
stock_168,0.2062,0.0643,0.0852,1.3134,-0.0201,295.5000,388.1000,4596.6000,1130.0000,0.6625,1
stock_289,0.3054,0.0536,0.0811,1.7614,-0.0408,11583.0000,20402.0000,216274.0000,73401.0000,0.6081,3
stock_281,0.2738,0.0464,1.4910,1.9277,-0.0430,249.0000,480.0000,5371.0000,5204.0000,-14.3049,5
stock_181,0.2869,0.0432,4.3576,1.7070,-0.0305,322.9000,551.2000,7479.3000,7405.2000,6.8330,4
stock_332,0.2789,0.0304,0.0654,2.0504,-0.0320,337.0000,691.0000,11069.0000,5919.0000,0.6321,4
stock_105,0.2560,0.0254,0.0547,1.9127,-0.0354,1168.0000,N/A,45983.0000,24637.0000,-0.6504,3
stock_342,0.3294,0.0131,0.0895,7.8579,-0.0899,194.2000,1526.0000,14808.5000,12638.0000,2.6161,5
stock_2,0.2039,0.0651,0.3694,0.9408,0.0039,22956.0000,21598.0000,352583.0000,290437.0000,-0.4717,2
stock_308,0.1888,0.0373,1.2340,1.5388,-0.0201,464.0000,714.0000,12436.0000,12060.0000,2.2100,3
stock_87,0.1637,0.0441,1.7438,1.6271,-0.0277,708.0000,1152.0000,16043.0000,15637.0000,1.4166,1
stock_100,0.1864,0.0216,0.0608,2.9270,-0.0415,1589.0000,4651.0000,73723.0000,47576.0000,0.1974,1
stock_174,0.2513,0.0644,-0.1474,1.6175,-0.0398,101.4240,164.0490,1575.2810,2263.2710,0.8580,5
stock_278,0.1719,0.0806,0.5012,1.0109,-0.0009,3198.0000,3233.0000,39674.0000,33293.0000,0.5250,1
stock_45,0.2960,0.0484,0.1469,1.3700,-0.0179,3524.0000,4828.0000,72861.0000,48873.0000,0.0493,4
stock_103,0.2106,0.0453,0.0517,1.1285,-0.0058,332.5270,375.2460,7333.7860,897.1470,-0.1352,1
stock_108,0.3887,0.0046,0.0129,10.2576,-0.0423,26.6650,273.5180,5831.0560,3770.2090,0.0134,5
stock_184,0.2418,0.0022,0.0118,5.1790,-0.0094,352.0000,1823.0000,156662.0000,126830.0000,0.3000,4
stock_201,0.2172,0.0198,3.0224,2.2975,-0.0256,1079.0000,2479.0000,54589.0000,54232.0000,0.7727,4
stock_234,0.2198,0.0248,0.3177,1.8385,-0.0208,180.0090,330.9460,7244.4040,6677.7660,-0.5282,4
stock_33,0.3447,0.0601,0.0838,1.2818,-0.0169,545.3270,698.9770,9069.0350,2563.4800,0.8783,3
stock_235,0.2039,0.0501,0.2570,1.2720,-0.0136,772.0000,982.0000,15395.0000,12391.0000,0.5405,2
stock_8,0.3099,0.0498,0.0898,1.0769,-0.0038,1483.0000,1597.0000,29779.0000,13261.0000,-0.3489,4
stock_32,0.3155,0.0203,0.0540,2.1477,-0.0233,9879.0000,21217.0000,486883.0000,303910.0000,0.4326,5
stock_253,0.1513,0.0342,0.5590,1.5792,-0.0198,587.0000,927.0000,17153.0000,16103.0000,1.4121,1
stock_3,0.1876,0.0131,0.1466,4.2598,-0.0425,1778.0000,7574.0000,136221.0000,124092.0000,0.3046,2
stock_454,0.2641,0.0157,0.0909,3.1076,-0.0331,502.0000,1560.0000,31945.0000,26424.0000,-0.0824,4
stock_439,0.3476,0.0061,0.0210,4.3710,-0.0207,221.0000,966.0000,35949.0000,25430.0000,-0.3537,5
stock_197,0.2307,0.0585,0.1407,1.0987,-0.0058,476.0000,523.0000,8140.0000,4758.0000,0.3022,2
stock_354,0.2863,0.0406,0.0638,0.7166,0.0115,638.7750,457.7610,15717.2630,5704.7620,-0.7694,4
stock_470,0.2523,0.0430,0.0562,1.4265,-0.0183,161.3000,230.1000,3754.7000,886.5000,0.5685,2
stock_392,0.2399,0.0331,0.2015,1.7186,-0.0238,761.5000,1308.7000,23004.5000,19224.5000,0.1464,3
stock_225,0.3717,0.0016,0.0028,19.6094,-0.0293,297.0000,5824.0000,188837.0000,83151.0000,0.6244,5
